,product_name,product_image,product_price
59,Váy vạt chéo khuy eo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Vay_vat_cheo_khuy_eo_1_thumb.jpg,"599,000đ"
60,Áo khoác cổ đức vai chờm,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Ao_khoac_co_duc_vai_chom__1_thumb.jpg,"509,000đ"
61,Váy 2 dây cổ lượn sóng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_9491_thumb.jpg,"509,000đ"
62,Quần suông dạ phối sườn,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Quan_suong_da_phoi_suon__1_thumb.jpg,"390,000đ"
63,Quần suông cạp lệch tag vải,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000773_thumb.jpg,"399,000đ"
64,Áo phối cổ tay xếp ly,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220817/DSC_1310_thumb.jpg,"339,000đ"
65,Set Blazer tay lỡ cổ V,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5763_thumb.jpg,"710,000đ"
66,Áo thun xoắn cổ lệch vai,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8301_thumb.jpg,"180,000đ"
67,Sơ mi dáng ngắn gấu V,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8673_thumb.jpg,"290,000đ"
68,Áo gấu chun túi ốp trước,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Ao_gau_chun_tui_op_truoc__15_thumb.jpg,"369,000đ"
69,Váy sơ mi nơ cổ,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8159_thumb.jpg,"559,000đ"
70,Áo dáng xòe phối cổ,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5020_thumb.jpg,"359,000đ"
71,Quần ống loe khuy TT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Quan_yem_kieu_chun_sau__1_thumb.jpg,"430,000đ"
72,Áo sơ mi kẻ phối cổ kiểu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_4046_thumb.jpg,"360,000đ"
73,Áo peplum cổ buộc nơ,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Ao_peplum_co_buoc_no__1_thumb.jpg,"310,000đ"
74,Sơ mi phối dây dệt ngực eo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/So_mi_phoi_day_det_nguc_eo__1_thumb.jpg,"339,000đ"
75,Áo xếp ly kiểu thân trước,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/DSC_3870_thumb.jpg,"180,000đ"
76,Sơ mi ly lật cổ đức,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001046_thumb.jpg,"369,000đ"
77,Áo sơ mi cổ V nẹp dây,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001165__1__thumb.jpg,"360,000đ"
78,Sơ mi cổ đức nhún nẹp ngực,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000836_thumb.jpg,"350,000đ"
79,Áo hở vai phối dây,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_6162_thumb.jpg,"169,000đ"
80,Áo sơ mi phối măng sec,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Ao_so_mi_phoi_mang_sec__1_thumb.jpg,"280,000đ"
